id,trial_number,trialID,soundCondition,chargeSpeed,leftColor,ISI_ms,repetition,response,is_fight,response_rt,confidence,confidence_rt,subject_id
650b03136ab3d4c832d98b71,1,4a2adf87-0f15-4bc0-9837-899addfb179c,higher,2.75,black,512.5,4,fight,1,162679,8.666666666666668,1783,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,2,2c174300-1111-477c-b605-e34e6031cd26,same,6.5,grey,478.6,6,fight,1,716,22.833333333333332,1180,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,3,e838dadb-c02f-4273-ae93-210720dcd06c,lower,1.5,grey,475.9,9,play,0,564,40.0,2076,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,4,50f23891-0e3f-40d3-8bcb-a5bcfcec1987,same,7.75,grey,481.2,5,fight,1,650,32.166666666666664,2285,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,5,debe6245-13a4-4a31-b28a-e7b25ce8fa93,lower,6.5,grey,478.6,8,fight,1,834,26.333333333333332,1860,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,6,fb491605-8f46-43ab-ba62-bfd86d95e4d6,lower,4.0,black,468.8,1,fight,1,3668,22.666666666666664,1220,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,7,124d9b3a-acac-4627-93e0-f05b493598f3,same,5.25,black,504.8,4,play,0,3172,10.333333333333334,1629,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,8,609aaddc-b0c4-4442-b4ef-ba29fa1dbe22,lower,4.0,black,502.4,2,play,0,3306,13.5,1362,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,9,7413c064-c0e5-4104-89aa-79d64ef9d6d9,same,4.0,black,470.8,0,fight,1,1235,32.83333333333333,1677,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,10,32110051-52cf-4952-a6e5-4c5fe75760b7,same,2.75,grey,522.9,7,play,0,1895,34.0,1242,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,11,04b8ff17-66ff-4d6b-a0aa-a91efebb4368,higher,5.25,black,514.3,4,fight,1,1365,32.666666666666664,1045,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,12,059f8cfb-52c8-47fd-8d26-b0fec58eafae,higher,9.0,grey,483.3,8,fight,1,1054,44.166666666666664,1807,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,13,3fd185a3-34a1-4f1a-9d01-aee3deee3988,same,2.75,black,472.9,0,play,0,538,57.166666666666664,2793,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,14,2d3d47a2-03c8-4642-84ec-a8f67c64868c,same,5.25,black,483.3,1,fight,1,1195,32.33333333333333,2054,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,15,81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,higher,1.5,black,513.9,4,play,0,570,54.166666666666664,1406,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,16,39d4c0f1-9195-4761-98c6-457bad8a2291,higher,5.25,black,514.3,2,fight,1,759,41.0,1662,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,17,0890b767-b394-4f89-aea1-c60cab7014af,higher,4.0,grey,526.2,9,play,0,870,17.333333333333336,1462,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,18,5dd4bcf1-ee00-4ee7-8a76-483bdc62202c,lower,4.0,grey,479.2,8,fight,1,2017,16.166666666666664,1156,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,19,5f5a825b-b433-4986-b5d6-5239eb407d32,lower,5.25,grey,475.0,7,fight,1,1284,51.83333333333333,4312,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,20,81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,same,1.5,black,513.9,4,play,0,811,56.99999999999999,1927,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,21,46786fd0-ca59-4ffa-a772-fe489fdbd94c,lower,5.25,grey,468.8,9,play,0,946,28.166666666666668,1583,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,22,4a2adf87-0f15-4bc0-9837-899addfb179c,lower,2.75,black,512.5,4,play,0,595,53.833333333333336,2823,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,23,8a889364-bfa4-42f7-8d4c-ee7478ea863c,higher,5.25,black,509.5,0,play,0,901,29.666666666666668,1739,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,24,8a889364-bfa4-42f7-8d4c-ee7478ea863c,lower,5.25,black,509.5,0,play,0,1251,35.66666666666667,2066,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,25,42a6675b-868f-488d-a671-17a04c97ab01,higher,2.75,black,500.0,2,fight,1,2705,15.5,1705,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,26,8649b489-429a-4894-9c74-827e94f04566,same,9.0,grey,528.6,8,fight,1,994,53.166666666666664,1442,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,27,8bee64f6-a3cb-48f4-be48-142b9065f5d7,higher,6.5,black,507.1,0,fight,1,1595,34.833333333333336,1288,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,28,2c174300-1111-477c-b605-e34e6031cd26,lower,6.5,grey,478.6,6,fight,1,2243,35.16666666666667,1801,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,29,8bee64f6-a3cb-48f4-be48-142b9065f5d7,lower,6.5,black,507.1,0,fight,1,1603,37.666666666666664,1678,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,30,70326c05-1133-4c5d-8a4c-3e71e0da8479,same,4.0,black,528.6,0,play,0,1289,51.0,1931,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,31,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,same,4.0,grey,509.5,9,fight,1,1301,31.5,1199,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,32,ed3846d1-c7e9-4e73-a1ab-cd413d18c0b8,higher,6.5,black,509.5,3,play,0,1593,23.0,1323,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,33,91327185-f59e-4ae7-a000-fd66526bab82,lower,9.0,black,485.7,4,fight,1,2275,14.666666666666666,1433,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,34,4cf04acf-6776-453a-a811-1c5e51c2ece4,same,5.25,black,525.9,3,fight,1,4127,20.333333333333332,1233,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,35,534a6ddb-dbec-42ac-b559-3f4cbdd66423,same,7.75,black,541.7,1,play,0,1880,7.333333333333333,1790,650b03136ab3d4c832d98b71
650b03136ab3d4c832d98b71,36,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,lower,4.0,grey,509.5,9,fight,1,1579,21.666666666666668,1865,650b03136ab3d4c832d98b71
