trialID,chargeSpeed,left_color,repetition,avgCDelay,agent1_clip,agent2_clip,touch_time_1_s,touch_time_2_s,ISI_ms
015f75aa-de90-4fdc-8657-d630f1963869,7.75,black,4,225,83cebb8e-9c67-4a8d-8a4f-4233f3264ee6,0b88aab4-d438-4231-a079-624f18edf487,2.517,6.283,470.8
04b8ff17-66ff-4d6b-a0aa-a91efebb4368,5.25,black,4,375,e7bef434-1800-4915-8295-6de66f195799,dfbbf429-52e9-4f3f-ad25-e8fd5e5edbd8,2.7,6.3,514.3
059f8cfb-52c8-47fd-8d26-b0fec58eafae,9,grey,8,150,0049bc1b-457e-4fdd-88fe-e38aa45646bc,76c88e53-5ccf-4cb4-9381-f3158e369c9d,2.65,6.033,483.3
085d7298-e568-4752-a909-8eecf82e3ebc,7.75,grey,7,225,d834cab3-2f6d-49d6-bfdc-1c32d75534a7,1317cbc5-197f-4ef9-b4b0-9c7046cb000e,2.767,6.45,526.2
0890b767-b394-4f89-aea1-c60cab7014af,4,grey,9,450,5f66d627-58e5-415c-ae89-34307396318a,cc10640b-4156-43a0-944e-92a3b94b759e,2.65,6.333,526.2
09060d5d-c3e1-451b-a3b5-4b2b567660ff,7.75,grey,8,225,8f71b9d3-43aa-4629-816d-439ed3c34eb7,5312c0b7-a80b-4861-92ee-55e25fe68347,2.5,5.85,478.6
0a4312a1-7156-4c68-9698-0f1495558bee,5.25,grey,8,375,f52aa443-8c98-4a90-ba66-e5a6326bde08,1dd3a1e7-a04e-4787-921c-83355fde1b8a,3.483,7.467,497.9
0bad25fa-4a38-4561-9d35-56f1108797cd,2.75,black,1,525,7494e630-a2e0-4ece-999c-618aabb25e05,b75c9cd9-c923-408b-ba25-16e5799de420,3.117,7.233,514.6
0e704828-9ccd-480e-8056-3a2a8158df0f,1.5,black,4,600,a90115c2-b870-4bad-b7f0-234e4bae37e3,4ec63f8d-2919-47b1-922c-54a4712c6a70,3.783,7.783,500
112b96b3-6518-4053-ad9f-ff77320acc23,2.75,black,4,525,617deb29-b9d2-4455-bb98-8ac698852940,33782be9-1513-4e0f-95d6-f69837e8177f,3.017,7.35,481.5
114b2369-dce5-4979-8319-c64c85175e6a,4,grey,7,450,4495c362-3567-488f-99ac-04e94d9573f9,021f5852-b7de-4608-84e6-e7c32c7e0714,2.817,6.633,477.1
124d9b3a-acac-4627-93e0-f05b493598f3,5.25,black,4,375,52d3f00a-85f1-41c2-b541-8adfa3e098df,33be162c-047d-4949-b848-cbbec61aea7f,2.817,6.35,504.8
132133b4-5554-4500-9494-87f534100012,9,grey,5,150,50be22b9-3236-4705-aca1-16078374486d,b96ad794-44df-4faf-bfb6-b56bfca8c72a,2.45,5.833,483.3
13e24563-ab7e-41df-adf6-e8e88b4d9e08,6.5,grey,9,300,0aa19148-9499-4c0d-bc2f-a7953d0a711e,9946a9f0-93c3-47ad-b8c5-e0a47198511a,2.483,6.3,477.1
14c0e4c6-94d9-41ec-b44a-5f6c8678230e,6.5,black,4,300,a5329515-6d95-4ba7-a0cb-1e45925a9e25,c7f316be-63cf-4d0a-b31d-73a7c9ffbf5f,2.833,6.417,511.9
15dfbaca-4429-4c18-90f4-8d4804129e6f,1.5,black,1,600,94f58bc7-f048-4287-b391-ac406748903e,ae890b33-4043-4b19-b41d-23bc56b4d9e4,4.167,7.583,488.1
